model,seed,rho_target,leak,input_scale,d_max,mc_total,capture_pct_vs_ref
local_sign+binary,10,0.95,0.8,1.0,80,5.129321575164795,100.0
global_sign_pres,10,0.95,0.8,1.0,30,3.8398711681365967,95.97037439059096
global_sign_pres,10,0.95,0.8,1.0,50,3.877032995223999,96.89916452506496
global_sign_pres,10,0.95,0.8,1.0,80,4.001100540161133,100.0
global_sign_pres_real_weight,10,0.95,0.8,1.0,30,4.7880778312683105,97.83459467096017
global_sign_pres_real_weight,10,0.95,0.8,1.0,50,4.827316761016846,98.63636208631009
global_sign_pres_real_weight,10,0.95,0.8,1.0,80,4.894053936004639,100.0
binary_base,10,0.95,0.8,1.0,30,3.255396842956543,96.63656291199683
binary_base,10,0.95,0.8,1.0,50,3.300917387008667,97.987841767169
binary_base,10,0.95,0.8,1.0,80,3.3687009811401367,100.0
real,11,0.95,0.8,1.0,30,3.6463050842285156,97.5676278115974
real,11,0.95,0.8,1.0,50,3.68815016746521,98.68731621195707
real,11,0.95,0.8,1.0,80,3.7372078895568848,100.0
cel_randN,11,0.95,0.8,1.0,30,8.148064613342285,98.56142345985825
cel_randN,11,0.95,0.8,1.0,50,8.181412696838379,98.96481183918591
cel_randN,11,0.95,0.8,1.0,80,8.26699161529541,100.0
er_randN,11,0.95,0.8,1.0,30,8.512408256530762,98.91926857936221
er_randN,11,0.95,0.8,1.0,50,8.546467781066895,99.31506059893438
er_randN,11,0.95,0.8,1.0,80,8.605409622192383,100.0
ws_p01_randN,11,0.95,0.8,1.0,30,8.666139602661133,98.81643498124065
ws_p01_randN,11,0.95,0.8,1.0,50,8.702109336853027,99.22658310520745
ws_p01_randN,11,0.95,0.8,1.0,80,8.769937515258789,100.0
local_sign,11,0.95,0.8,1.0,30,4.8171162605285645,97.44403675937019
local_sign,11,0.95,0.8,1.0,50,4.8462629318237305,98.0336362532358
local_sign,11,0.95,0.8,1.0,80,4.943469524383545,100.0
local_sign+flat,11,0.95,0.8,1.0,30,5.5707316398620605,98.17964616346535
local_sign+flat,11,0.95,0.8,1.0,50,5.613043308258057,98.92535514753834
local_sign+flat,11,0.95,0.8,1.0,80,5.674018859863281,100.0
local_sign+binary,11,0.95,0.8,1.0,30,4.936193466186523,98.06779330251963
local_sign+binary,11,0.95,0.8,1.0,50,4.961776256561279,98.57604886741171
local_sign+binary,11,0.95,0.8,1.0,80,5.033450126647949,100.0
global_sign_pres,11,0.95,0.8,1.0,30,3.750062942504883,97.43649213106784
global_sign_pres,11,0.95,0.8,1.0,50,3.7790334224700928,98.1892213482681
global_sign_pres,11,0.95,0.8,1.0,80,3.8487253189086914,100.0
global_sign_pres_real_weight,11,0.95,0.8,1.0,30,4.201756000518799,97.65543076473982
global_sign_pres_real_weight,11,0.95,0.8,1.0,50,4.233874797821045,98.40192222826339
global_sign_pres_real_weight,11,0.95,0.8,1.0,80,4.302634239196777,100.0
binary_base,11,0.95,0.8,1.0,30,3.490629196166992,98.16840935603659
binary_base,11,0.95,0.8,1.0,50,3.5184531211853027,98.95091311326424
binary_base,11,0.95,0.8,1.0,80,3.555756092071533,100.0
real,12,0.95,0.8,1.0,30,4.315742015838623,98.28843832798277
real,12,0.95,0.8,1.0,50,4.353381156921387,99.14564721198336
real,12,0.95,0.8,1.0,80,4.390894889831543,100.0
cel_randN,12,0.95,0.8,1.0,30,7.380556106567383,98.49883935010733
