mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,mean,src
weight_test1.0,0,0.95,0.6,0.1,5.261390209197998,5.495359897613525,2.330608367919922,2.4632458686828613,0.002207297831773758,chunk_0
weight_test1.0,0,0.95,0.6,0.5,4.327789783477783,6.563338875770569,2.4493117332458496,3.295423746109009,0.002155126305297017,chunk_0
weight_test1.0,0,0.95,0.6,1.0,3.3160367012023926,4.736145555973053,3.156712055206299,5.2062668800354,0.002211662009358406,chunk_0
weight_test1.0,0,0.95,0.6,1.5,2.077827215194702,2.8548887968063354,2.8858211040496826,5.116069793701172,0.0021849616896361113,chunk_0
weight_test1.0,0,0.95,0.8,0.1,6.7776641845703125,7.1885417103767395,2.3269169330596924,2.376521587371826,0.002173634013161063,chunk_0
weight_test1.0,0,0.95,0.8,0.5,4.960848808288574,7.180469274520874,3.3016974925994873,4.647171974182129,0.002215514425188303,chunk_0
weight_test1.0,0,0.95,0.8,1.0,3.695350170135498,5.122310817241669,2.9472479820251465,5.110496997833252,0.002161091659218073,chunk_0
weight_test1.0,0,0.95,0.8,1.5,3.2757251262664795,4.519997537136078,3.4231576919555664,6.718719482421875,0.0021848443429917097,chunk_0
weight_test1.0,0,0.95,1.0,0.1,7.045970439910889,7.813047289848328,2.99418044090271,3.1832785606384277,0.0022303180303424597,chunk_0
weight_test1.0,0,0.95,1.0,0.5,4.69843864440918,7.066643536090851,3.227196455001831,4.472376823425293,0.002211187733337283,chunk_0
weight_test1.0,0,0.95,1.0,1.0,2.1502060890197754,3.3941017985343933,3.678891181945801,6.545947551727295,0.002218910027295351,chunk_0
weight_test1.0,0,0.95,1.0,1.5,1.8615068197250366,2.770050823688507,4.434650421142578,9.266523361206055,0.0021848995238542557,chunk_0
weight_test1.0,0,1.05,0.6,0.1,3.3193414211273193,4.024315059185028,3.15053391456604,3.442241907119751,0.0023814549203962088,chunk_0
weight_test1.0,0,1.05,0.6,0.5,4.5597028732299805,6.866004824638367,3.015725612640381,4.20796012878418,0.0023826276883482933,chunk_0
weight_test1.0,0,1.05,0.6,1.0,1.3519713878631592,1.842282235622406,3.668499231338501,6.037944316864014,0.0024231490679085255,chunk_0
