config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
washout_x0.25,local_sign+sample,0,0.8,1.0,1.0,125,1500,500,4.213964462280273,97.67243742208154
washout_x0.25,local_sign+binary,0,0.8,1.0,1.0,125,1500,500,2.7899951934814453,95.68331823523741
washout_x0.25,global_sign_pres,0,0.8,1.0,1.0,125,1500,500,3.7483348846435547,95.96190640353737
washout_x0.25,binary+shuffle,0,0.8,1.0,1.0,125,1500,500,3.8130929470062256,111.72234119060201
washout_x0.25,real,0,0.95,0.8,0.5,125,1500,500,4.894386291503906,127.54025491345938
washout_x0.25,shuffle_weights,0,0.95,0.8,0.5,125,1500,500,5.244951248168945,121.57205244035825
washout_x0.25,cel_randN,0,0.95,0.8,0.5,125,1500,500,8.607030868530273,101.9966425773361
washout_x0.25,er_randN,0,0.95,0.8,0.5,125,1500,500,12.104286193847656,101.36982187651348
washout_x0.25,ws_p01_randN,0,0.95,0.8,0.5,125,1500,500,12.266958236694336,102.39339108129037
washout_x0.25,conn_shuf,0,0.95,0.8,0.5,125,1500,500,5.003555774688721,93.77830919408804
washout_x0.25,local_sign,0,0.95,0.8,0.5,125,1500,500,3.4736838340759277,74.76871490490261
washout_x0.25,conn_shuf_only,0,0.95,0.8,0.5,125,1500,500,4.283864974975586,89.50523387346487
washout_x0.25,cel_sample,0,0.95,0.8,0.5,125,1500,500,5.331997871398926,89.96765769388527
washout_x0.25,local_sign+flat,0,0.95,0.8,0.5,125,1500,500,5.166257858276367,116.74192347833657
washout_x0.25,local_sign+sample,0,0.95,0.8,0.5,125,1500,500,5.278744697570801,102.35943957519602
washout_x0.25,local_sign+binary,0,0.95,0.8,0.5,125,1500,500,4.99370002746582,151.10172818608203
washout_x0.25,global_sign_pres,0,0.95,0.8,0.5,125,1500,500,4.007020473480225,79.43543603496761
washout_x0.25,binary+shuffle,0,0.95,0.8,0.5,125,1500,500,2.583585500717163,63.891218796678
washout_x0.25,real,0,0.95,0.8,1.0,125,1500,500,2.9660069942474365,75.19280329959379
washout_x0.25,shuffle_weights,0,0.95,0.8,1.0,125,1500,500,3.335850238800049,146.19577335782265
washout_x0.25,cel_randN,0,0.95,0.8,1.0,125,1500,500,4.674076080322266,96.52905961291664
washout_x0.25,er_randN,0,0.95,0.8,1.0,125,1500,500,8.455230712890625,99.68506723999946
washout_x0.25,ws_p01_randN,0,0.95,0.8,1.0,125,1500,500,8.723129272460938,101.15571598564976
washout_x0.25,conn_shuf,0,0.95,0.8,1.0,125,1500,500,3.135622024536133,68.82988763957914
washout_x0.25,local_sign,0,0.95,0.8,1.0,125,1500,500,1.5743052959442139,45.76448824889182
washout_x0.25,conn_shuf_only,0,0.95,0.8,1.0,125,1500,500,2.9892807006835938,84.18304167828514
washout_x0.25,cel_sample,0,0.95,0.8,1.0,125,1500,500,3.4912970066070557,92.91139778615018
washout_x0.25,local_sign+flat,0,0.95,0.8,1.0,125,1500,500,1.6511980295181274,52.91873731497883
washout_x0.25,local_sign+sample,0,0.95,0.8,1.0,125,1500,500,2.781461715698242,85.46507837225757
washout_x0.25,local_sign+binary,0,0.95,0.8,1.0,125,1500,500,2.7061891555786133,87.20852998748333
washout_x0.25,global_sign_pres,0,0.95,0.8,1.0,125,1500,500,2.8690130710601807,82.16523651217466
washout_x0.25,binary+shuffle,0,0.95,0.8,1.0,125,1500,500,2.1160695552825928,77.33922145432894
washout_x0.25,real,0,0.95,1.0,0.5,125,1500,500,4.919854640960693,83.56925214722799
washout_x0.25,shuffle_weights,0,0.95,1.0,0.5,125,1500,500,6.090476036071777,87.51466353972384
washout_x0.25,cel_randN,0,0.95,1.0,0.5,125,1500,500,11.77614974975586,98.52288140732064
washout_x0.25,er_randN,0,0.95,1.0,0.5,125,1500,500,15.437135696411133,98.25852994840687
washout_x0.25,ws_p01_randN,0,0.95,1.0,0.5,125,1500,500,15.15645980834961,98.75895561722436
washout_x0.25,conn_shuf,0,0.95,1.0,0.5,125,1500,500,6.614787578582764,105.81125279741029
washout_x0.25,local_sign,0,0.95,1.0,0.5,125,1500,500,5.553402423858643,138.8899221130516
washout_x0.25,conn_shuf_only,0,0.95,1.0,0.5,125,1500,500,5.081891059875488,84.5341601752695
