model,neuron_bias,capacity_threshold,order,parity,mean_ipc_contrib,std_ipc_contrib,median_ipc_contrib,ratio_to_order3
global_sign_pres_real_weight,0.0,0.01,8,even,0.03424298446625471,0.024911553222449114,0.02569629205390811,0.016642178446939875
global_sign_pres_real_weight,0.0,0.01,9,odd,0.07661341717466712,0.06409170411448416,0.04845979996025562,0.03723431762518075
global_sign_pres_real_weight,0.0,0.01,10,even,0.03565537091344595,0.025088181419027758,0.028085488826036453,0.017328601889772657
global_sign_pres_real_weight,0.1,0.0,1,odd,4.704299713834918,0.7588681212557868,4.5290752167891,2.1174645762964266
global_sign_pres_real_weight,0.1,0.0,2,even,1.913526501018809,0.45111281691552896,1.882818786739442,0.8613023889178932
global_sign_pres_real_weight,0.1,0.0,3,odd,2.221666310972258,0.40979338124395576,2.255191283488689,1.0
global_sign_pres_real_weight,0.1,0.0,4,even,0.6726421095309185,0.23999059106708404,0.624253618426227,0.3027646889224121
global_sign_pres_real_weight,0.1,0.0,5,odd,0.908373368672029,0.2870980324322053,0.9742511970229799,0.40887029892193916
global_sign_pres_real_weight,0.1,0.0,6,even,0.2867570532790068,0.0775352900338493,0.26403388598861754,0.1290729628760111
global_sign_pres_real_weight,0.1,0.0,7,odd,0.30313375763153194,0.07970556948100266,0.28744904008022587,0.13644432385477046
global_sign_pres_real_weight,0.1,0.0,8,even,0.19073069962127426,0.03197119812043246,0.1918388931315551,0.0858502911437702
global_sign_pres_real_weight,0.1,0.0,9,odd,0.2077181724830969,0.03672982874880213,0.20794795733900173,0.0934965667243674
global_sign_pres_real_weight,0.1,0.0,10,even,0.18552635015467933,0.024025815313075117,0.18194056379552936,0.0835077478730315
global_sign_pres_real_weight,0.1,0.001,1,odd,4.693517805711599,0.7595229757895569,4.516650685749482,2.1237916515119157
global_sign_pres_real_weight,0.1,0.001,2,even,1.9015114181733224,0.4510245173999448,1.872973467106931,0.8604237253040118
global_sign_pres_real_weight,0.1,0.001,3,odd,2.2099709274072667,0.4094952757301691,2.242447459953837,1.0
global_sign_pres_real_weight,0.1,0.001,4,even,0.6597542616247665,0.2393335090262922,0.6134356177062728,0.2985352673389187
global_sign_pres_real_weight,0.1,0.001,5,odd,0.8962818283878733,0.28765216913456787,0.962581880914513,0.4055627235962734
global_sign_pres_real_weight,0.1,0.001,6,even,0.27469832077622414,0.07772768608702271,0.2511622518650256,0.12429951786673485
global_sign_pres_real_weight,0.1,0.001,7,odd,0.2905845842906274,0.07924065797482792,0.2764434004202485,0.1314879669623259
global_sign_pres_real_weight,0.1,0.001,8,even,0.17833354194299317,0.03276980902485822,0.18076336436206475,0.08069497192536089
global_sign_pres_real_weight,0.1,0.001,9,odd,0.1956473028054461,0.03685260950432629,0.19632546190405264,0.08852935592007045
global_sign_pres_real_weight,0.1,0.001,10,even,0.17348940044175834,0.025378080941057684,0.16902697761543095,0.07850302385891372
global_sign_pres_real_weight,0.1,0.005,1,odd,4.6265004590386525,0.7624211494319756,4.441873300587758,2.160703735273615
global_sign_pres_real_weight,0.1,0.005,2,even,1.8340274437330664,0.4575461424518375,1.8086003938224167,0.8565415659964704
global_sign_pres_real_weight,0.1,0.005,3,odd,2.1412007502513006,0.4093275336037344,2.173924111528322,1.0
global_sign_pres_real_weight,0.1,0.005,4,even,0.5883983004139737,0.24303573715280488,0.5436120480298996,0.27479828799093997
global_sign_pres_real_weight,0.1,0.005,5,odd,0.8305571022909135,0.2835346752968127,0.8943196821492165,0.387893149296457
global_sign_pres_real_weight,0.1,0.005,6,even,0.20109052096959204,0.07723037794617367,0.18498975574038923,0.09391483771243364
