model,seed,rho_target,leak,input_scale,d_max,ipc_kset,capture_pct_vs_ref
cel_sample,8,0.95,0.8,1.0,30,5.131468832492828,100.0
cel_sample,8,0.95,0.8,1.0,50,5.131468832492828,100.0
cel_sample,8,0.95,0.8,1.0,80,5.131468832492828,100.0
local_sign+flat,8,0.95,0.8,1.0,30,3.3336390256881714,100.0
local_sign+flat,8,0.95,0.8,1.0,50,3.3336390256881714,100.0
local_sign+flat,8,0.95,0.8,1.0,80,3.3336390256881714,100.0
local_sign+sample,8,0.95,0.8,1.0,30,5.101481676101685,100.0
local_sign+sample,8,0.95,0.8,1.0,50,5.101481676101685,100.0
local_sign+sample,8,0.95,0.8,1.0,80,5.101481676101685,100.0
local_sign+binary,8,0.95,0.8,1.0,30,3.741704046726227,100.0
local_sign+binary,8,0.95,0.8,1.0,50,3.741704046726227,100.0
local_sign+binary,8,0.95,0.8,1.0,80,3.741704046726227,100.0
global_sign_pres,8,0.95,0.8,1.0,30,3.9556357860565186,100.0
global_sign_pres,8,0.95,0.8,1.0,50,3.9556357860565186,100.0
global_sign_pres,8,0.95,0.8,1.0,80,3.9556357860565186,100.0
binary+shuffle,8,0.95,0.8,1.0,30,5.971324563026428,100.0
binary+shuffle,8,0.95,0.8,1.0,50,5.971324563026428,100.0
binary+shuffle,8,0.95,0.8,1.0,80,5.971324563026428,100.0
real,9,0.95,0.8,1.0,30,7.826169073581696,100.0
real,9,0.95,0.8,1.0,50,7.826169073581696,100.0
real,9,0.95,0.8,1.0,80,7.826169073581696,100.0
shuffle_weights,9,0.95,0.8,1.0,30,5.288217306137085,100.0
shuffle_weights,9,0.95,0.8,1.0,50,5.288217306137085,100.0
shuffle_weights,9,0.95,0.8,1.0,80,5.288217306137085,100.0
cel_randN,9,0.95,0.8,1.0,30,13.028485536575317,100.0
cel_randN,9,0.95,0.8,1.0,50,13.028485536575317,100.0
cel_randN,9,0.95,0.8,1.0,80,13.028485536575317,100.0
er_randN,9,0.95,0.8,1.0,30,12.963650166988373,100.0
er_randN,9,0.95,0.8,1.0,50,12.963650166988373,100.0
er_randN,9,0.95,0.8,1.0,80,12.963650166988373,100.0
ws_p01_randN,9,0.95,0.8,1.0,30,13.702050566673279,100.0
