mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
real,141,0.6,0.8,0.5,0.0,5.504395484924316,8.169970610777796,2.832364797592163,3.755255937576294,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.8,0.5,0.1,5.33535099029541,6.802993646065943,3.1399526596069336,4.387448787689209,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.8,1.0,0.0,3.6783509254455566,6.338629065843065,3.2037811279296875,5.253907203674316,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.8,1.0,0.1,3.7171084880828857,6.377123081946948,3.6377999782562256,6.281286239624023,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.8,1.5,0.0,3.9624571800231934,6.38916657914727,3.341050624847412,6.2109198570251465,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.8,1.5,0.1,3.0091023445129395,3.923464612032433,3.82110595703125,7.469918251037598,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,1.0,0.1,0.0,6.712484359741211,7.8701296243241305,2.8761632442474365,2.9883975982666016,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,1.0,0.1,0.1,6.6366071701049805,7.723727083305221,2.9831080436706543,3.1808736324310303,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,1.0,0.5,0.0,5.779732704162598,7.132774082074093,3.457995891571045,4.700552940368652,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,1.0,0.5,0.1,5.6189866065979,7.720603385590039,3.82439923286438,5.442207336425781,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,1.0,1.0,0.0,4.42409086227417,7.767721786359694,3.8897783756256104,6.557610034942627,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,1.0,1.0,0.1,4.693091869354248,7.165620808937263,4.396424770355225,7.737640380859375,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,1.0,1.5,0.0,3.773737668991089,4.9592505114539485,4.014715671539307,7.692154884338379,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,1.0,1.5,0.1,3.2775285243988037,5.963178080235721,4.569796562194824,9.122546195983887,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.8,0.6,0.1,0.0,6.191606044769287,6.96361503327762,2.6439321041107178,2.748405694961548,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.6,0.1,0.1,6.083057880401611,6.806033844887793,2.742293119430542,2.9341037273406982,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.6,0.5,0.0,5.321156978607178,7.335658191262382,3.148791551589966,4.235385417938232,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.6,0.5,0.1,5.658857822418213,8.02405390904454,3.4984169006347656,4.953588962554932,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.6,1.0,0.0,4.760741710662842,7.438305327111337,3.5651071071624756,5.958878517150879,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.6,1.0,0.1,4.063861846923828,6.4969631231451785,4.049432754516602,7.100612640380859,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.6,1.5,0.0,3.6016793251037598,6.0629645626356705,3.70951509475708,7.052773952484131,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.6,1.5,0.1,2.856516122817993,4.395038185101534,4.238321304321289,8.436002731323242,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.8,0.1,0.0,6.853532791137695,7.932597700900331,3.175734281539917,3.313971757888794,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.8,0.1,0.1,6.8109331130981445,7.819049552887918,3.3028953075408936,3.54082989692688,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.8,0.5,0.0,5.6237897872924805,7.2568815763846715,3.8553977012634277,5.32902717590332,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.8,0.5,0.1,5.359187126159668,7.698813679791698,4.276082515716553,6.168179988861084,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.8,1.0,0.0,4.161833763122559,6.367850847922,4.3360185623168945,7.480913162231445,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.8,1.0,0.1,3.705382823944092,5.801047151053808,4.903069019317627,8.789539337158203,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.8,1.5,0.0,3.9994897842407227,6.280602967869022,4.462871551513672,8.789444923400879,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,0.8,1.5,0.1,2.9312729835510254,4.339945624713209,5.075960636138916,10.354425430297852,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,1.0,0.1,0.0,7.216120719909668,8.560871743199645,4.035965919494629,4.266296863555908,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,1.0,0.1,0.1,7.140250205993652,8.294073312177716,4.210704803466797,4.56058406829834,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,1.0,0.5,0.0,6.0910210609436035,9.266852686317256,4.918491840362549,7.070007801055908,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,1.0,0.5,0.1,5.014313697814941,6.849848249088595,5.43449068069458,8.072510719299316,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,1.0,1.0,0.0,4.744187355041504,7.981961316815774,5.4457550048828125,9.7051362991333,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
real,141,0.8,1.0,1.0,0.1,4.473354339599609,6.6419971620933325,6.117847919464111,11.21442985534668,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14112346,chunk_14
